date,cash,market_value,total
2020-10-09,1000000.0,0.0,1000000.0
2020-10-12,1000000.0,0.0,1000000.0
2020-10-13,673265.0089,323209.0,996474.0089
2020-10-14,705322.3888000001,289215.0,994537.3888000001
2020-10-15,673863.3912000002,320297.0,994160.3912000002
2020-10-16,442595.15300000017,547154.0,989749.1530000002
2020-10-19,484166.38358000014,499753.2,983919.5835800001
2020-10-20,695877.4643200004,292859.0,988736.4643200004
2020-10-21,635023.4156200005,345063.0,980086.4156200005
2020-10-22,755145.9834200004,224979.0,980124.9834200004
2020-10-23,447201.55352000025,523241.0,970442.5535200003
2020-10-26,620416.2477200003,349028.0,969444.2477200003
2020-10-27,715957.5767200004,253031.0,968988.5767200004
2020-10-28,913488.6996000003,55169.0,968657.6996000003
2020-10-29,913488.6996000003,55444.100000000006,968932.7996000003
2020-10-30,913488.6996000003,55105.100000000006,968593.7996000003
2020-11-02,913488.6996000003,58442.7,971931.3996000002
2020-11-03,913488.6996000003,58424.6,971913.2996000003
2020-11-04,596720.6977000003,376476.6,973197.2977000002
2020-11-05,594618.4898000002,382539.2,977157.6898000003
2020-11-06,414789.7122000001,553409.3,968199.0122000002
2020-11-09,438756.9511000001,532985.1,971742.0511
2020-11-10,294507.23250300006,666843.85,961351.082503
2020-11-11,570231.4485030001,385006.02,955237.4685030001
2020-11-12,405998.8886759999,554852.76,960851.6486759998
2020-11-13,255694.20427599992,708190.0800000001,963884.284276
2020-11-16,247496.37177599993,717349.8300000001,964846.201776
2020-11-17,537185.5230759999,418480.67,955666.1930759999
2020-11-18,512402.526676,448808.02,961210.546676
2020-11-19,448008.2709759999,519037.58999999997,967045.8609759999
2020-11-20,366579.71689099993,601413.14,967992.856891
2020-11-23,84033.97859099993,886261.3200000001,970295.298591
2020-11-24,295901.065191,676372.51,972273.575191
2020-11-25,385013.32349100005,573712.9299999999,958726.253491
2020-11-26,329148.64105099987,624952.3,954100.9410509999
2020-11-27,87780.57654699992,867855.34,955635.916547
2020-11-30,21064.25524699995,930895.8,951960.055247
2020-12-01,157022.97872699998,800601.66,957624.638727
2020-12-02,347359.156227,612401.15,959760.306227
2020-12-03,62948.64402699995,888156.63,951105.274027
2020-12-04,202784.76307699992,752548.5700000001,955333.333077
2020-12-07,273612.53065699997,673633.42,947245.9506570001
2020-12-08,479014.97423699993,466988.3,946003.2742369999
2020-12-09,519741.5606319999,421323.38,941064.9406319999
2020-12-10,399581.97346500005,541388.3,940970.2734650001
2020-12-11,60905.255764999994,870145.42,931050.675765
2020-12-14,297016.4224050001,631656.59,928673.012405
2020-12-15,562825.257905,364682.07,927507.327905
2020-12-16,405042.4441050003,512895.1,917937.5441050003
2020-12-17,473065.48645500035,452928.46,925993.9464550004
2020-12-18,414957.4876550004,511454.70999999996,926412.1976550004
2020-12-21,383808.41355500027,555003.85,938812.2635550003
2020-12-22,424643.6302750002,504434.98,929078.6102750001
2020-12-23,352731.87191500026,584656.39,937388.2619150003
2020-12-24,161968.91800800024,769143.6,931112.5180080002
2020-12-25,209599.26410800026,738312.7,947911.9641080003
2020-12-28,16288.86030800028,934508.6,950797.4603080002
2020-12-29,157520.1890080003,778706.65,936226.8390080003
2020-12-30,390380.2277680002,551222.65,941602.8777680002
2020-12-31,113847.32594800017,844161.9,958009.2259480002
2021-01-04,29730.90890800018,952184.25,981915.1589080002
2021-01-05,21285.09330800024,953459.5499999999,974744.6433080002
2021-01-06,176021.16050800023,789446.6,965467.7605080002
2021-01-07,250934.09464400032,705164.54,956098.6346440003
2021-01-08,204174.7645550004,733530.2000000001,937704.9645550004
2021-01-11,238345.40889900044,676011.98,914357.3888990004
2021-01-12,216840.77974900045,714074.97,930915.7497490004
2021-01-13,179050.65296900045,738735.27,917785.9229690004
2021-01-14,172399.3343690005,730047.13,902446.4643690005
2021-01-15,25429.761749000547,886691.55,912121.3117490006
2021-01-18,99559.47425700053,838807.41,938366.8842570005
2021-01-19,319222.8057570006,607317.77,926540.5757570006
2021-01-20,464422.95795700053,474537.82999999996,938960.7879570005
2021-01-21,417569.2262670005,531570.77,949139.9962670004
2021-01-22,340246.35388700047,612502.1,952748.4538870004
2021-01-25,216026.29988700047,743378.0800000001,959404.3798870005
2021-01-26,111431.74140800058,837096.5,948528.2414080006
2021-01-27,330194.1387080006,612353.17,942547.3087080007
2021-01-28,385844.0444080006,545060.3500000001,930904.3944080006
2021-01-29,516709.4330100006,413506.55,930215.9830100005
2021-02-01,631904.3541630006,303729.82999999996,935634.1841630006
2021-02-02,722974.2407070005,215631.57,938605.8107070005
2021-02-03,722974.2407070005,209882.00999999998,932856.2507070005
2021-02-04,722974.2407070005,206050.00999999998,929024.2507070005
2021-02-05,759123.8925570005,163530.64,922654.5325570005
2021-02-08,801310.2618780006,125101.90000000001,926412.1618780006
2021-02-09,801310.2618780006,127820.90999999999,929131.1718780006
2021-02-10,801310.2618780006,127796.40999999999,929106.6718780006
2021-02-18,801310.2618780006,128481.43,929791.6918780005
2021-02-19,801310.2618780006,127962.52000000002,929272.7818780006
2021-02-22,801310.2618780006,121128.0,922438.2618780006
2021-02-23,801310.2618780006,122373.09,923683.3518780005
2021-02-24,801310.2618780006,121256.87,922567.1318780006
2021-02-25,819491.6458260006,101893.05000000002,921384.6958260007
2021-02-26,819491.6458260006,102303.18,921794.8258260007
2021-03-01,819491.6458260006,103545.81999999998,923037.4658260006
2021-03-02,831520.0362260006,90911.99999999999,922432.0362260006
2021-03-03,831520.0362260006,91754.61,923274.6462260006
2021-03-04,831520.0362260006,88078.41,919598.4462260007
2021-03-05,847945.7170430006,69515.31999999999,917461.0370430006
2021-03-08,879878.7442600006,38933.93,918812.6742600007
2021-03-09,879878.7442600006,36750.490000000005,916629.2342600006
2021-03-10,879878.7442600006,37614.85,917493.5942600006
2021-03-11,879878.7442600006,38270.47,918149.2142600006
2021-03-12,879878.7442600006,37806.44,917685.1842600007
2021-03-15,879878.7442600006,37628.57,917507.3142600006
2021-03-16,879878.7442600006,38125.92,918004.6642600007
2021-03-17,879878.7442600006,40176.08,920054.8242600006
2021-03-18,879878.7442600006,39260.76,919139.5042600007
2021-03-19,879878.7442600006,39012.82,918891.5642600006
2021-03-22,879878.7442600006,41830.32000000001,921709.0642600006
2021-03-23,879878.7442600006,42369.32,922248.0642600006
2021-03-24,879878.7442600006,42740.740000000005,922619.4842600006
2021-03-25,879878.7442600006,43099.42,922978.1642600007
2021-03-26,879878.7442600006,45127.04,925005.7842600007
2021-03-29,879878.7442600006,43560.51,923439.2542600007
2021-03-30,889239.8350900006,32898.6,922138.4350900006
2021-03-31,897664.8168370007,24268.23,921933.0468370006
2021-04-01,897664.8168370007,24748.92,922413.7368370007
2021-04-02,897664.8168370007,23919.84,921584.6568370006
2021-04-06,897664.8168370007,23178.960000000003,920843.7768370006
2021-04-07,897664.8168370007,23452.38,921117.1968370007
2021-04-08,897664.8168370007,23514.12,921178.9368370007
2021-04-09,897664.8168370007,23659.649999999998,921324.4668370007
2021-04-12,897664.8168370007,22341.059999999998,920005.8768370007
2021-04-13,897664.8168370007,22376.34,920041.1568370006
2021-04-14,897664.8168370007,22790.88,920455.6968370007
2021-04-15,897664.8168370007,22539.51,920204.3268370007
2021-04-16,897664.8168370007,22680.63,920345.4468370007
2021-04-19,897664.8168370007,22711.5,920376.3168370007
2021-04-20,595712.2582370008,328390.26,924102.5182370008
2021-04-21,473416.58053700073,446142.78,919559.3605370007
2021-04-22,382388.91143700085,551488.62,933877.5314370008
2021-04-23,410735.8556370009,521284.93,932020.7856370008
2021-04-26,509576.9908570009,424308.38,933885.3708570009
2021-04-27,611738.2074070009,327052.95,938791.1574070009
2021-04-28,581545.152207001,350689.23,932234.382207001
2021-04-29,553216.779307001,380479.26,933696.039307001
2021-04-30,625471.1964770011,308329.33,933800.5264770011
