code,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,reason,signal_j,signal_vol_ratio
000001,1993-03-08,1993-03-09,126.65,126.1,100,-62.58249999999862,-0.4939891897412902,S1信号减仓≥50%,,
000001,1993-03-10,1993-03-15,126.65,127.09,300,-420.995600000002,-1.092457726666431,持有4天盈利不足4%,,
000001,1993-04-26,1993-04-27,130.4,130.07,100,-40.8140999999996,-0.31289769510864224,S1信号减仓≥50%,,
000001,1993-04-28,1993-04-29,130.4,129.08,500,-522.8691999999937,-0.8038760861898814,基础止损,,
000012,1993-04-28,1993-04-29,30.15,29.6,2100,-1342.6875,-2.11500010171848,基础止损,,
000007,1993-04-28,1993-04-29,29.0,28.4,1100,-678.9419999999991,-2.1277065156315147,基础止损,,
000017,1993-11-24,1993-11-26,19.54,19.41,1700,-240.86450000000332,-0.7248848886787492,盈转亏清仓,,
000012,1993-11-25,1993-11-26,23.55,23.55,2700,-844.3927999999942,-1.3109589199306648,盈转亏清仓,,
000012,1993-11-26,1993-11-29,23.31,23.08,1400,-341.4838000000018,-1.0460911490602638,基础止损,,
000017,1993-11-26,1993-11-30,19.61,19.54,1600,-130.79199999999764,-0.4167286275106684,盈转亏清仓,,
000019,1993-11-30,1993-12-01,12.02,11.65,2700,-1018.1726999999992,-3.136338632520058,放量跌破黄线清仓,,
600831,1995-04-06,1995-04-11,6.75,6.82,2910,91.02315000000453,0.4608948415139878,跌破白线减仓30%,,
000570,1995-04-06,1995-04-11,5.9,5.9,11100,-589.4589999999953,-0.8923110468434201,盈转亏清仓,,
000564,1995-04-06,1995-04-11,5.14,5.09,12800,-679.2831999999908,-1.0321611687699777,盈转亏清仓,,
600825,1995-04-07,1995-04-11,12.65,12.74,7600,-374.18919999999343,-0.38509056712674633,盈转亏清仓,,
600822,1995-04-10,1995-04-11,12.98,12.68,2500,-769.244999999999,-2.369843746413823,基础止损,,
600858,1995-04-10,1995-04-11,7.44,7.24,4400,-899.3775999999962,-2.7465416289091653,放量跌破黄线清仓,,
600831,1995-04-06,1995-04-12,6.75,6.88,6790,619.665129999994,1.344715030735482,持有4天盈利不足4%,,
600845,1995-04-10,1995-04-13,11.25,10.4,8800,-6191.752499999988,-6.338534157329974,击穿对手盘失败清仓,,
600691,1995-04-11,1995-04-18,16.25,16.22,2000,-79.48200000000361,-0.24448665400380998,持有4天盈利不足4%,,
600846,1995-07-20,1995-07-24,18.8,18.8,1700,-19.175999999999476,-0.05998200539837885,盈转亏清仓,,
600621,1995-07-21,1995-07-25,279.25,273.47,200,-1536.2672999999922,-2.732897766842683,基础止损,,
000551,1995-07-25,1995-07-26,4.67,4.67,13900,-315.03059999999823,-0.4831123643011075,盈转亏清仓,,
600658,1995-07-20,1995-07-27,9.43,9.48,3400,150.7118000000046,0.4699226499282596,持有4天盈利不足4%,,
600850,1995-07-20,1995-07-27,10.7,10.66,3000,-139.22399999999107,-0.43358954930340554,持有4天盈利不足4%,,
000524,1995-07-24,1995-07-27,8.56,8.87,11400,3702.457799999989,3.801868807039376,持有4天盈利不足4%,,
000530,1995-07-24,1995-07-28,6.32,6.32,10300,273.03600000000733,0.4213295161859064,持有4天盈利不足4%,,
001872,1995-07-21,1995-07-28,3.82,3.7,8500,-1039.1759999999958,-3.199459010464387,持有4天盈利不足4%,,
600648,1995-08-02,1995-08-08,92.88,92.7,300,-70.70219999999972,-0.2536642108142741,盈转亏清仓,,
000530,1995-08-02,1995-08-09,6.25,6.32,5200,344.39080000000104,1.0593461961411608,持有4天盈利不足4%,,
600812,1995-08-03,1995-08-10,4.5,5.64,2190,2489.9380200000014,25.25815588656738,盈利20%止盈30%,,
600800,1995-08-09,1995-08-11,6.75,6.82,14700,2605.6471000000165,2.669220547713292,持有4天盈利不足4%,,
600648,1995-08-16,1995-08-17,96.14,91.79,300,-1321.9136999999937,-4.58191957848466,基础止损,,
600648,1995-08-17,1995-08-18,93.17,90.67,300,-766.5455999999976,-2.7416396740310227,基础止损,,
600812,1995-08-03,1995-08-21,4.5,6.03,1533,2340.647253000001,33.91962411276619,滴滴信号减仓30%,,
